dates;valeurs
1990-01;101.55
1990-02;100.93
1990-03;99.11
1990-04;98.5
1990-05;96.84
1990-06;98.99
1990-07;97.19
1990-08;95.49
1990-09;103.35
1990-10;85.87
1990-11;90.1
1990-12;94.79
1991-01;96.6
1991-02;94.01
1991-03;97.26
1991-04;96.96
1991-05;94.37
1991-06;96.39
1991-07;92.72
1991-08;93.02
1991-09;92.99
1991-10;91.54
1991-11;96.58
1991-12;94.82
1992-01;96.04
1992-02;99.24
1992-03;98.31
1992-04;98.21
1992-05;100.48
1992-06;98.96
1992-07;95.24
1992-08;94.26
1992-09;90.97
1992-10;93.93
1992-11;93.31
1992-12;91.52
1993-01;84.14
1993-02;86.65
1993-03;87.64
1993-04;87.17
1993-05;90.14
1993-06;87.55
1993-07;93.45
1993-08;94.63
1993-09;97.08
1993-10;99.99
1993-11;93.01
1993-12;96.7
1994-01;103.79
1994-02;98.61
1994-03;94.28
1994-04;94.34
1994-05;94.73
1994-06;94.7
1994-07;92.68
1994-08;94.9
1994-09;95.82
1994-10;89.38
1994-11;95.24
1994-12;106.78
1995-01;95.46
1995-02;89.54
1995-03;96.41
1995-04;102.56
1995-05;97.13
1995-06;102.53
1995-07;96.86
1995-08;95.81
1995-09;100.46
1995-10;101.17
1995-11;102.32
1995-12;95.9
1996-01;96.67
1996-02;102.33
1996-03;103.09
1996-04;98.08
1996-05;109.77
1996-06;95.62
1996-07;100.45
1996-08;87.46
1996-09;102.53
1996-10;101.77
1996-11;93.22
1996-12;100.35
1997-01;103.51
1997-02;102.27
1997-03;100.67
1997-04;100.46
1997-05;104.95
1997-06;102.78
1997-07;107.72
1997-08;106.73
1997-09;100.27
1997-10;99.45
1997-11;101.76
1997-12;103.36
1998-01;101.61
1998-02;95.27
1998-03;101.13
1998-04;101.22
1998-05;94.01
1998-06;95.81
1998-07;98.8
1998-08;101.6
1998-09;99.67
1998-10;94.32
1998-11;98.0
1998-12;101.8
1999-01;96.09
1999-02;102.4
1999-03;96.0
1999-04;91.47
1999-05;96.24
1999-06;100.16
1999-07;96.04
1999-08;94.13
1999-09;99.67
1999-10;102.97
1999-11;101.39
1999-12;96.03
2000-01;96.6
2000-02;93.45
2000-03;98.42
2000-04;98.55
2000-05;96.03
2000-06;94.83
2000-07;100.37
2000-08;101.47
2000-09;94.69
2000-10;99.63
2000-11;101.01
2000-12;101.93
2001-01;101.31
2001-02;101.11
2001-03;99.51
2001-04;103.08
2001-05;102.24
2001-06;102.36
2001-07;100.08
2001-08;97.86
2001-09;95.37
2001-10;100.33
2001-11;96.16
2001-12;95.67
2002-01;101.04
2002-02;104.21
2002-03;104.27
2002-04;99.82
2002-05;104.18
2002-06;103.4
2002-07;100.11
2002-08;107.58
2002-09;100.62
2002-10;98.65
2002-11;100.94
2002-12;92.66
2003-01;94.8
2003-02;94.83
2003-03;97.55
2003-04;101.07
2003-05;98.18
2003-06;96.25
2003-07;93.41
2003-08;85.25
2003-09;98.98
2003-10;97.4
2003-11;92.62
2003-12;102.23
2004-01;103.98
2004-02;103.9
2004-03;101.45
2004-04;100.08
2004-05;99.48
2004-06;102.99
2004-07;105.34
2004-08;101.91
2004-09;106.74
2004-10;103.96
2004-11;103.76
2004-12;103.24
2005-01;100.92
2005-02;99.74
2005-03;95.97
2005-04;96.06
2005-05;99.4
2005-06;98.87
2005-07;100.61
2005-08;104.76
2005-09;99.71
2005-10;101.25
2005-11;102.25
2005-12;102.66
2006-01;101.77
2006-02;100.8
2006-03;102.09
2006-04;101.76
2006-05;103.82
2006-06;102.02
2006-07;102.63
2006-08;107.19
2006-09;103.6
2006-10;100.86
2006-11;102.77
2006-12;105.73
2007-01;104.57
2007-02;102.93
2007-03;104.88
2007-04;108.37
2007-05;100.47
2007-06;105.07
2007-07;103.6
2007-08;114.81
2007-09;99.42
2007-10;96.95
2007-11;100.71
2007-12;110.14
2008-01;104.44
2008-02;97.87
2008-03;94.5
2008-04;104.91
2008-05;102.12
2008-06;107.43
2008-07;96.87
2008-08;90.73
2008-09;96.32
2008-10;98.61
2008-11;96.33
2008-12;124.15
2009-01;91.54
2009-02;97.01
2009-03;98.03
2009-04;94.98
2009-05;98.28
2009-06;95.54
2009-07;95.37
2009-08;91.89
2009-09;95.43
2009-10;93.69
2009-11;94.74
2009-12;94.87
2010-01;96.99
2010-02;96.54
2010-03;96.46
2010-04;89.46
2010-05;94.98
2010-06;91.32
2010-07;94.84
2010-08;91.42
2010-09;95.17
2010-10;94.49
2010-11;95.46
2010-12;87.36
2011-01;95.56
2011-02;85.81
2011-03;102.68
2011-04;95.94
2011-05;91.66
2011-06;94.06
2011-07;104.84
2011-08;98.38
2011-09;97.07
2011-10;96.22
2011-11;90.01
2011-12;95.84
2012-01;93.48
2012-02;90.52
2012-03;93.89
2012-04;94.63
2012-05;94.6
2012-06;97.34
2012-07;107.27
2012-08;97.21
2012-09;92.38
2012-10;95.65
2012-11;97.81
2012-12;93.19
2013-01;96.3
2013-02;99.88
2013-03;89.98
2013-04;95.39
2013-05;98.89
2013-06;95.78
2013-07;91.61
2013-08;92.5
2013-09;89.38
2013-10;88.63
2013-11;105.42
2013-12;101.15
2014-01;106.62
2014-02;107.96
2014-03;108.85
2014-04;104.59
2014-05;94.11
2014-06;98.92
2014-07;101.35
2014-08;97.47
2014-09;103.77
2014-10;104.92
2014-11;101.97
2014-12;101.46
2015-01;98.63
2015-02;101.02
2015-03;96.75
2015-04;100.84
2015-05;98.61
2015-06;99.78
2015-07;94.68
2015-08;101.98
2015-09;103.28
2015-10;102.94
2015-11;98.97
2015-12;102.53
2016-01;112.92
2016-02;99.09
2016-03;102.41
2016-04;101.18
2016-05;103.91
2016-06;103.86
2016-07;106.41
2016-08;107.71
2016-09;101.37
2016-10;103.7
2016-11;100.68
2016-12;107.0
2017-01;99.37
2017-02;101.83
2017-03;107.16
2017-04;99.96
2017-05;106.22
2017-06;94.17
2017-07;104.07
2017-08;106.71
2017-09;101.5
2017-10;96.37
2017-11;100.13
2017-12;95.48
2018-01;96.2
2018-02;93.08
2018-03;85.71
2018-04;91.0
2018-05;90.98
2018-06;92.58
2018-07;91.88
2018-08;86.15
2018-09;89.2
2018-10;90.7
2018-11;87.75
2018-12;85.65
2019-01;99.39
2019-02;98.34
2019-03;98.38
2019-04;102.28
2019-05;88.6
2019-06;97.44
2019-07;88.27
2019-08;89.81
2019-09;91.19
2019-10;93.17
2019-11;94.93
2019-12;92.96
2020-01;86.45
2020-02;99.01
2020-03;88.72
2020-04;73.33
2020-05;92.41
2020-06;86.32
2020-07;87.3
2020-08;86.92
2020-09;90.23
2020-10;84.61
2020-11;83.18
2020-12;84.08
2021-01;112.07
2021-02;100.03
